Town,County,Per capita income,Location,Lat,Lon
"Belfast, Pennsylvania",Northampton County,"$19,155 ","Belfast, Plainfield Township, Northampton County, Pennsylvania, USA",40.781821,-75.27397493
"Bristol Township, Pennsylvania",Bucks County,"$19,090 ","Bristol Township, Bucks County, Pennsylvania, USA",40.1229002,-74.86447058
"Mount Pocono, Pennsylvania",Monroe County,"$19,068 ","Mount Pocono, Monroe County, Pennsylvania, 18344, USA",41.1220987,-75.3646997
"Bethlehem, Pennsylvania",Northampton County,"$18,987 ","Bethlehem, Northampton County, Pennsylvania, USA",40.6178915,-75.3786521
"Stroudsburg, Pennsylvania",Monroe County,"$18,965 ","Stroudsburg, Monroe County, Pennsylvania, 18360, USA",40.9867609,-75.1946248
"Catasauqua, Pennsylvania",Lehigh County,"$18,906 ","Catasauqua, Lehigh County, Pennsylvania, 18032, USA",40.6548191,-75.4746273
"Pleasant Valley Township, Pennsylvania",Bucks County,"$18,894 ","Pleasant Valley, Bucks County, Pennsylvania, 18081, USA",40.5211508,-75.2924978
"Bath, Pennsylvania",Northampton County,"$18,724 ","Bath, Northampton County, Pennsylvania, USA",40.726519,-75.3934911
"Coplay, Pennsylvania",Lehigh County,"$18,580 ","Coplay, Lehigh County, Pennsylvania, USA",40.6700965,-75.4954612
"Fountain Hill, Pennsylvania",Lehigh County,"$18,508 ","Fountain Hill, Lehigh County, Pennsylvania, USA",40.6014873,-75.3951808
"Monroe, Pennsylvania",Monroe County,"$18,242 ","Monroe County, Pennsylvania, United States of America",41.0400423,-75.3249475
"Pen Argyl, Pennsylvania",Northampton County,"$18,145 ","Pen Argyl, Northampton County, Pennsylvania, USA",40.8687064,-75.2549025
"Bridgewater Township, Pennsylvania",Bucks County,"$18,139 ","Bridgewater, Bucks County, Pennsylvania, 19020, USA",40.0978883,-74.9193334
"Walnutport, Pennsylvania",Northampton County,"$18,095 ","Walnutport, Northampton County, Pennsylvania, USA",40.7542619,-75.5987971
"Eldred Township, Monroe County, Pennsylvania",Monroe County,"$18,079 ","Eldred Township, Monroe County, Pennsylvania, 18057, USA",40.8573143,-75.45070651
