Town,County,Population,Location,Lat,Lon
"Shillington, Pennsylvania",Berks County,"5,273","Shillington, Berks County, Pennsylvania, USA",40.3078702,-75.9654896
"Schlusser, Pennsylvania",Cumberland County,"5,265","Schlusser, Cumberland County, Pennsylvania, USA",40.2417541,-77.1769254
"Vandergrift, Pennsylvania",Westmoreland County,"5,205","Vandergrift, Westmoreland County, Pennsylvania, 15690, USA",40.6028434,-79.5647667
"Westmont, Pennsylvania",Cambria County,"5,181","Westmont, Cambria County, Pennsylvania, USA",40.3156297,-78.9516928
"Birdsboro, Pennsylvania",Berks County,"5,163","Birdsboro, Berks County, Pennsylvania, 19508, USA",40.2645371,-75.8040852
"Arnold, Pennsylvania",Westmoreland County,"5,157","Arnold, Westmoreland County, Pennsylvania, USA",40.5800669,-79.7667152
"Olyphant, Pennsylvania",Lackawanna County,"5,151","Olyphant, Lackawanna County, Pennsylvania, 18447, USA",41.4688301,-75.602387
"Bridgeville, Pennsylvania",Allegheny County,"5,148","Bridgeville, Allegheny County, Pennsylvania, USA",40.3561805,-80.1100556
"Clarks Summit, Pennsylvania",Lackawanna County,"5,116","Clarks Summit, Lackawanna County, Pennsylvania, 18411, USA",41.4941161,-75.703413
"Farrell, Pennsylvania",Mercer County,"5,111","Farrell, Mercer County, Pennsylvania, 16121, USA",41.212279,-80.496737
"Collegeville, Pennsylvania",Montgomery County,"5,089","Collegeville, Montgomery County, Pennsylvania, 19426, USA",40.1856597,-75.451571
"Oxford, Pennsylvania",Chester County,"5,077","Oxford, Chester County, Pennsylvania, 19363, USA",39.7852062,-75.9790215
"Shenandoah, Pennsylvania",Schuylkill County,"5,071","Shenandoah, Schuylkill County, Pennsylvania, 17976, USA",40.8204404,-76.2011079
"Swoyersville, Pennsylvania",Luzerne County,"5,062","Swoyersville, Luzerne County, Pennsylvania, USA",41.2917475,-75.8746407
"Shanor-Northvue, Pennsylvania",Butler County,"5,051","Shanor-Northvue, Center Township, Butler County, Pennsylvania, USA",40.9104575,-79.90883958
"Kutztown, Pennsylvania",Berks County,"5,012","Kutztown, Berks County, Pennsylvania, USA",40.5173165,-75.7774177
