Town,Per capita income,Location,Lat,Lon,County
"Upper Saddle River, Bergen County, New Jersey","$57,239 ","Upper Saddle River, Bergen County, New Jersey, 07458, USA",41.0584299,-74.0984756,Bergen County
"Peapack-Gladstone, Somerset County, New Jersey","$56,542 ","Peapack-Gladstone, Somerset County, New Jersey, USA",40.717783,-74.65885196,Somerset County
"Bernards Township, Somerset County, New Jersey","$56,521 ","Bernards Township, Somerset County, New Jersey, USA",40.676207,-74.56335485,Somerset County
"Princeton Township, Mercer County, New Jersey","$56,360 ","Princeton, Alexander Street, Princeton, Mercer County, New Jersey, 08540, USA",40.34209645,-74.65902005,Mercer County
"Chester Township, Morris County, New Jersey","$55,353 ","Chester Township, Morris County, New Jersey, USA",40.78028655,-74.66720906,Morris County
"Diamond Beach, Cape May County, New Jersey","$54,883 ","Diamond Beach, Cape May County, New Jersey, 08260, USA",38.9595572,-74.8523914,Cape May County
"Morris Township, Morris County, New Jersey","$54,782 ","Morris Township, Morris County, New Jersey, USA",40.798799,-74.52084688,Morris County
"Bedminster Township, Somerset County, New Jersey","$53,549 ","Bedminster Township, Somerset County, New Jersey, USA",40.672849,-74.67769577,Somerset County
"Woodcliff Lake, Bergen County, New Jersey","$53,461 ","Woodcliff Lake, Bergen County, New Jersey, 07677, USA",41.0234304,-74.0665297,Bergen County
"Tenafly, Bergen County, New Jersey","$53,170 ","Tenafly, Bergen County, New Jersey, 07670, USA",40.9253766,-73.9629154,Bergen County
"Chatham, Morris County, New Jersey","$53,027 ","Chatham, Morris County, New Jersey, USA",40.7409242,-74.3836711,Morris County
"Monmouth Beach, Monmouth County, New Jersey","$52,862 ","Monmouth Beach, Monmouth County, New Jersey, 07750, USA",40.3303883,-73.9815262,Monmouth County
"Cape May Point, Cape May County, New Jersey","$52,689 ","Cape May Point, Cape May County, New Jersey, 08212, USA",38.9342875,-74.96988753,Cape May County
"Strathmere, Cape May County, New Jersey","$52,045 ","Strathmere, Cape May County, New Jersey, 08248, USA",39.1956704,-74.6579371,Cape May County
"Demarest, Bergen County, New Jersey","$51,939 ","Demarest, Bergen County, New Jersey, 07627, USA",40.9573205,-73.9634708,Bergen County
"Ridgewood, Bergen County, New Jersey","$51,658 ","Ridgewood, Bergen County, New Jersey, 07450, United States of America",40.9796683,-74.1194403,Bergen County
"Cranbury, Middlesex County, New Jersey","$51,095 ","Cranbury, Middlesex County, New Jersey, 08512, USA",40.3162195,-74.5137645,Middlesex County
"Longport, Atlantic County, New Jersey","$50,884 ","Longport, Atlantic County, New Jersey, 08403, USA",39.3142827,-74.5248756,Atlantic County
"Cranbury Township, Middlesex County, New Jersey","$50,698 ","Cranbury Township, Middlesex County, New Jersey, 08512, USA",40.30733165,-74.52712727,Middlesex County
"Avalon, Cape May County, New Jersey","$50,016 ","Avalon, Cape May County, New Jersey, 08202, USA",39.101225,-74.7176622,Cape May County
