Town,County,Per capita income,Location,Lat,Lon
"Timber Hills, Lebanon County, Pennsylvania",Lebanon County,"$34,974 ","Timber Hills, Lebanon County, Pennsylvania, 17064, USA",40.2482369,-76.4807972
"Upper Merion Township, Montgomery County, Pennsylvania",Montgomery County,"$34,961 ","Upper Merion Township, Montgomery County, Pennsylvania, USA",40.08602195,-75.36622959
"Homewood, Beaver County, Pennsylvania",Beaver County,"$34,486 ","Homewood, Beaver County, Pennsylvania, USA",40.8139205,-80.3300668
"Newtown Township, Bucks County, Pennsylvania",Bucks County,"$34,335 ","Newtown Township, Bucks County, Pennsylvania, USA",40.2417393,-74.93974786
"Tinicum Township, Bucks County, Pennsylvania",Bucks County,"$34,321 ","Tinicum Township, Bucks County, Pennsylvania, USA",40.48732585,-75.11014772
"Worcester Township, Montgomery County, Pennsylvania",Montgomery County,"$34,264 ","Worcester Township, Montgomery County, Pennsylvania, 19490, USA",40.1926229,-75.34386986
"Wyomissing Hills, Berks County, Pennsylvania",Berks County,"$34,024 ","Wyomissing Hills, Berks County, Pennsylvania, 19610, USA",40.3375926,-75.9796574
"Woodbourne, Bucks County, Pennsylvania",Bucks County,"$33,821 ","Woodbourne, Sugarberry Lane, Middletown Township, Bucks County, Pennsylvania, 19047, USA",40.203278,-74.88844163
"Concord Township, Delaware County, Pennsylvania",Delaware County,"$33,800 ","Concord Township, Delaware County, Pennsylvania, USA",39.87570145,-75.50651662
"Uwchlan Township, Chester County, Pennsylvania",Chester County,"$33,785 ","Uwchlan Township, Chester County, Pennsylvania, United States of America",40.0533733,-75.66200678
"Mount Lebanon, Allegheny County, Pennsylvania",Allegheny County,"$33,652 ","Mount Lebanon, Allegheny County, Pennsylvania, USA",40.3765,-80.0508
"Newtown, Bucks County, Pennsylvania",Bucks County,"$33,500 ","Newtown, Bucks County, Pennsylvania, 189440, USA",40.2294046,-74.9365329
"Newtown Grant, Pennsylvania",Bucks County,"$33,485 ","Newtown Grant, Sparrow Walk, Ravens View I, Newtown Township, Bucks County, Pennsylvania, 18940, USA",40.258715,-74.95532093
"Wallace Township, Pennsylvania",Chester County,"$33,437 ","Wallace Township, Chester County, Pennsylvania, 19343, USA",40.09085515,-75.77429935
